"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AF52_01486",31730.099841908,-3.26837171069382,0.0772397142615831,-42.3146530504375,0,0
"AF52_01575",18974.0281450591,3.97982264565743,0.0844994589896543,47.0987943975441,0,0
"AF52_01842",7340.01567231501,3.84595482076309,0.101037347563404,38.0646851239797,0,0
"AF52_02638",30579.0954515675,-4.82522428245681,0.111238930660103,-43.3771185485463,0,0
"AF52_02639",30606.4476005137,-6.55245413950672,0.0984476556921028,-66.5577467888079,0,0
"AF52_02726",10479.5353345463,-5.06183873873755,0.108669001084004,-46.5803374305854,0,0
"AF52_02727",19832.5570834528,-7.20752740332265,0.0999549956660727,-72.1077256348586,0,0
"AF52_02801",4733.59610816653,-4.11323799006987,0.107839461862686,-38.1422340117697,0,0
"AF52_02810",15784.7001369988,-4.65528272865355,0.102698606577579,-45.3295607777982,0,0
"AF52_03414",16246.2458890895,4.44741636970932,0.0953349985428031,46.6504058078161,0,0
"AF52_03493",29376.6858242922,3.96409910819633,0.0802515828411501,49.3958993437284,0,0
"AF52_03494",25269.1309805833,5.07549409100823,0.086176993116194,58.8961613474358,0,0
"AF52_03389",44737.6673694512,-3.47343920472485,0.0927924205092219,-37.4323590834626,1.16328263446428e-306,4.25582477654777e-304
"AF52_04552",14005.3034816883,-3.67714711783007,0.100102193364825,-36.7339315376298,2.09909724686198e-295,7.13093321862541e-293
"AF52_03814",23636.8895709805,3.69406477534253,0.100694008689046,36.686043424393,1.21920241142305e-294,3.86568444581867e-292
"AF52_02737",3158.19014365035,4.70923215165668,0.129217679910938,36.4441781875549,8.50688300573611e-291,2.52867097345506e-288
"AF52_00619",7961.82241581462,-3.5943190072653,0.0990957575713915,-36.2711693754988,4.60927063684018e-288,1.28951124404776e-285
"AF52_02012",8405.5452481477,-3.15915832132368,0.0876229514779417,-36.0540048929871,1.19357723107557e-284,3.15369628388634e-282
"AF52_01534",21468.5025444952,-5.14454230076273,0.145082573017593,-35.4594090369412,2.07732752816664e-275,5.19987880208449e-273
"AF52_02967",6219.92389821715,-4.17399788350002,0.119105431275751,-35.0445637851428,4.71826012408162e-269,1.12200225750661e-266
"AF52_04553",13431.6573015965,-3.25480444908488,0.0932319873797595,-34.9108127002288,5.0956709925446e-267,1.15404815431153e-264
"AF52_02605",8190.38646600316,3.63195035805653,0.104147227172935,34.8732314497989,1.8930085553971e-266,4.09234031339483e-264
"AF52_03465",2887.7408015335,4.58158564593239,0.133289678171822,34.3731465839861,6.35361832074119e-259,1.31381777101935e-256
"AF52_04679",7773.93777836681,-3.30943078196735,0.0987710344974013,-33.5060860586048,3.92994006990024e-246,7.78783123851898e-244
"AF52_03551",36354.7806975268,-3.46730960558954,0.103492447832106,-33.5030205413104,4.35543415811382e-246,8.28577794239572e-244
"AF52_01530",5617.12366288679,3.13586919962869,0.0944758335459214,33.1922893075556,1.39090985784594e-241,2.54429510919819e-239
"AF52_03492",17887.4560796075,3.21891580320283,0.100077890967537,32.1641050993668,5.60904770263779e-227,9.88023365694272e-225
"AF52_02588",5123.89391541068,-5.02851682505992,0.15951290266711,-31.5242011209213,4.04860136182078e-218,6.87683859886415e-216
"AF52_02171",2820.94893968715,4.01953148102172,0.129204864652213,31.1097534279478,1.77769433147271e-212,2.91541870361525e-210
"AF52_03467",2011.6513192006,4.2666162599506,0.138469284603445,30.8127269680749,1.76978497610067e-208,2.80569911544493e-206
"AF52_02394",11789.722854374,-3.12566284711829,0.102392790425537,-30.5262004690786,1.17052745201219e-204,1.79581566508709e-202
"AF52_02178",10492.0102036805,2.84938582766794,0.0941233520915794,30.2728893983245,2.60792606939903e-201,3.87603012064431e-199
"AF52_01554",1701.37540765864,4.64873767650791,0.153696845158689,30.2461489805349,5.86257697772198e-201,8.44921700183204e-199
"AF52_01812",5789.78956845351,3.58160107271115,0.119408593625909,29.9945000937858,1.15757991743309e-197,1.61925002567993e-195
"AF52_03464",2839.17510206192,3.73325995515795,0.125978778805354,29.6340382924817,5.4464264271102e-193,7.4009154535246e-191
"AF52_01983",7898.75161809144,-3.77755266305462,0.129293131885572,-29.2169630974509,1.18085316033789e-187,1.56003823071305e-185
"AF52_03390",18190.0197136284,-3.38973557410438,0.116216876249383,-29.167326497664,5.03761309037648e-187,6.47537509671096e-185
"AF52_03863",3893.77679421833,-3.57098354293648,0.123716251062507,-28.8643045054143,3.35161056093225e-183,4.19480521784047e-181
"AF52_02167",4501.29264767995,3.78765096000625,0.131314757721561,28.8440615946425,6.01486275092995e-183,7.33504801113406e-181
"AF52_02462",2424.55499593114,-3.71730519599977,0.129218550587698,-28.7675815824672,5.45955172025667e-182,6.49140699538518e-180
"AF52_03634",1666.5700480501,-4.58350044839883,0.160627962452555,-28.5348850748989,4.32648488088679e-179,5.01872246182867e-177
"AF52_03107",4791.05882701847,3.02070888487435,0.106261270305607,28.4271858993102,9.33085385727355e-178,1.05660811774269e-175
"AF52_03466",1801.78879694622,4.12888886801662,0.145748301955736,28.328898605423,1.52319830709242e-176,1.68472817407711e-174
"AF52_03899",1774.84474001339,4.9426553744029,0.175271729806264,28.1999577448471,5.85454029652038e-175,6.32822582960248e-173
"AF52_01231",6974.48143622891,-3.99854988956654,0.14251113617069,-28.0578065476747,3.20798318826333e-173,3.39048178741787e-171
"AF52_03898",5233.99662229599,3.24202256317143,0.116715546583181,27.7771270244698,8.19707012464067e-170,8.47505772017197e-168
"AF52_01843",1732.18467245655,4.2819607717394,0.154161248033732,27.7758569442982,8.49179809361828e-170,8.59297696452097e-168
"AF52_01845",12866.1220415952,2.46778227082606,0.089494279223487,27.5747488245976,2.2351793987683e-167,2.21469025427959e-165
"AF52_03635",2286.42691094435,-3.82744342574663,0.139765328801216,-27.3847846141463,4.16292606859148e-165,4.04058701677981e-163
"AF52_01574",14862.063972656,2.38707611904936,0.0878359251161574,27.1765352945575,1.23029631932209e-162,1.17025785893917e-160
"AF52_00693",3709.13909770028,3.7255628440631,0.137095076258467,27.1750302471786,1.28173050766776e-162,1.19527652832704e-160
"AF52_02606",3806.66998095468,3.39032841809696,0.124867055625928,27.1515044629031,2.43053658131174e-162,2.2230061501382e-160
"AF52_02974",43366.9281105015,-3.32143130596314,0.122817320153061,-27.0436718682984,4.53352077533628e-161,4.06819335990554e-159
"AF52_01474",3199.81941060547,-5.19857850263189,0.192721578938197,-26.9745532974229,2.93966943028721e-160,2.58908663156407e-158
