Geneid	./SRR15174659	./SRR15174661	./SRR15174663	./SRR15174670	./SRR15174671	./SRR15174672
AF52_00001	103	54	72	665	528	695
AF52_00002	172	87	130	210	145	260
AF52_00003	258	112	203	393	316	478
AF52_00004	86	30	72	86	64	97
AF52_00005	148	63	128	216	202	283
AF52_00006	73	16	137	127	180	108
AF52_00007	186	58	111	193	178	390
AF52_00008	350	139	226	234	361	368
AF52_00009	47	63	91	201	181	181
AF52_00010	35	19	26	25	46	83
AF52_00011	275	133	196	375	339	467
AF52_00012	228	101	182	283	228	402
AF52_00013	38	50	161	342	350	489
AF52_00014	101	52	10	98	70	229
AF52_00015	109	41	42	220	131	144
AF52_00016	63	0	12	82	159	83
AF52_00017	1008	501	788	1328	1129	1755
AF52_00018	704	324	550	365	368	569
AF52_00019	0	0	0	4	26	15
AF52_00020	44	96	12	137	140	135
AF52_00021	267	158	183	345	400	367
AF52_00022	50	31	72	154	197	368
AF52_00023	999	449	834	1295	1199	1849
AF52_00024	3366	1977	3022	520	613	792
AF52_00025	0	0	1	20	16	17
AF52_00026	77	0	15	70	22	96
AF52_00027	16	1	3	24	20	16
AF52_00028	68	22	16	135	109	143
AF52_00029	89	75	47	151	74	290
AF52_00030	48	70	52	86	101	84
AF52_00031	96	65	130	122	145	139
AF52_00032	8	12	22	16	10	13
AF52_00033	48	13	45	15	38	67
AF52_00034	0	0	0	0	0	0
AF52_00035	0	0	0	12	0	0
AF52_00036	20	12	4	14	12	15
AF52_00037	112	56	70	60	233	110
AF52_00038	4	0	0	0	21	0
AF52_00039	140	32	27	168	126	172
AF52_00040	6	0	27	42	0	74
AF52_00041	31	8	25	26	6	37
AF52_00042	40	17	62	91	142	93
AF52_00043	18	4	50	126	131	100
AF52_00044	194	67	102	233	183	377
AF52_00045	442	235	370	812	614	1002
AF52_00046	313	201	123	675	395	630
AF52_00047	194	74	183	276	226	373
AF52_00048	143	104	287	446	381	404
AF52_00049	9	21	3	72	82	44
AF52_00050	27	12	3	58	68	64
AF52_00051	272	143	186	440	468	713
AF52_00052	35	9	98	124	167	150
AF52_00053	13	15	22	121	31	52
AF52_00054	119	90	150	571	518	860
AF52_00055	49	76	35	80	65	167
AF52_00056	1000	468	797	1297	1137	1730
AF52_00057	175	65	199	287	154	413
AF52_00058	110	84	34	84	101	205
AF52_00059	232	170	308	477	378	812
AF52_00060	19	0	7	34	31	53
AF52_00061	7	11	0	116	65	15
AF52_00062	395	330	463	1063	916	1975
AF52_00063	2020	1082	1642	3325	3267	4326
AF52_00064	481	353	751	718	664	775
AF52_00065	609	325	498	695	905	1382
AF52_00066	694	355	586	842	893	1175
AF52_00067	432	248	406	612	566	656
AF52_00068	857	498	528	1857	1660	2500
AF52_00069	1319	748	1262	3092	3199	4235
AF52_00070	2020	1107	1529	1569	1626	2559
AF52_00071	4382	2980	3833	11456	9845	13120
AF52_00072	818	299	525	695	882	1081
AF52_00073	1834	820	1413	1743	1389	2093
AF52_00074	1413	1088	1425	1673	1736	2448
AF52_00075	585	395	697	1162	1109	1502
AF52_00076	169	164	160	434	339	415
AF52_00077	1485	753	1004	1242	940	1740
AF52_00078	563	353	547	276	248	687
AF52_00079	515	350	521	1519	1289	2146
AF52_00080	450	157	291	513	513	694
AF52_00081	355	177	403	881	764	1350
AF52_00082	532	379	543	3446	2782	4608
AF52_00083	463	259	449	3393	2592	3655
AF52_00084	201	126	249	473	643	837
AF52_00085	434	277	488	1329	1329	1766
AF52_00086	326	170	341	603	531	979
AF52_00087	88	16	40	188	128	229
AF52_00088	27	23	81	155	73	163
AF52_00089	246	131	208	513	432	635
AF52_00090	118	52	132	186	146	245
AF52_00091	137	40	154	230	202	261
AF52_00092	238	173	215	379	187	297
AF52_00093	618	212	410	549	489	971
AF52_00094	5460	3583	4554	4025	3330	5881
